"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"cat_elig <=   1.5 & medical_deductions > 104.0 & total_deductions_by_hh_size > 502.0 & utilities <= 696.0","2-3","national",95,0.5053,0.3889,36,"buffer"
"HH_size_n <= 4.500 & rawben_rel_max > 0.555 & rawben_rel_max <= 0.998","4+","state",45,0.5556,0.3867,37,"buffer"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national",209,0.4641,0.3858,38,"buffer"
"months_since_cert_n <   5 & shelter_expenses_by_hh_size < 429 & total_deductions_by_hh_size >= 138","4+","state",41,0.561,0.3843,39,"buffer"
"shelter_expenses_by_hh_size >  74.700 & total_deductions_by_hh_size <= 202.000 & unc_rawben_rel_max >   0.304 & utilities <= 468.000","4+","state",41,0.561,0.3843,40,"buffer"
"rawben_rel_max <   0.934 & total_deductions_by_hh_size >=  66.200 & total_deductions_by_hh_size < 224.000","4+","state",76,0.5132,0.3834,41,"buffer"
"months_since_cert_n <=   5.5 & shelter_expenses_by_hh_size <= 248.0 & total_deductions_by_hh_size >  53.2 & utilities <= 528.0","4+","state",39,0.5641,0.383,42,"buffer"
"medical_deductions >= 201.00 & rawben_rel_max >=   0.32 & utilities < 462.00","2-3","national",65,0.5231,0.3828,43,"buffer"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.87 & utilities < 369.00","1","national",143,0.4755,0.3811,44,"buffer"
"medical_deductions <= 138.000 & months_since_cert_n >   4.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national",106,0.4906,0.3809,45,"buffer"
"shelter_expenses_by_hh_size < 488 & total_deductions_by_hh_size >= 320 & total_deductions_by_hh_size < 349 & utilities >= 391","4+","national",72,0.5139,0.3808,46,"buffer"
"elderly_disabled_i <=   0.500 & months_since_cert_n >   3.500 & shelter_expenses_by_hh_size > 453.000 & unc_rawben_rel_max <=   0.964","2-3","state",35,0.5714,0.3805,47,"buffer"
"HH_size_n >=   5 & shelter_expenses_by_hh_size < 342 & total_deductions_by_hh_size >= 320","4+","national",50,0.54,0.3803,48,"buffer"
"HH_size_n <   5 & months_since_cert_n <   4 & shelter_expenses_by_hh_size < 372","4+","state",33,0.5758,0.3793,49,"buffer"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 630.000 & utilities < 800.000","1","national",464,0.4267,0.3745,50,"buffer"
"HH_size_n <  5.000 & months_since_cert_n < 11.000 & rawben_rel_max >=  0.544 & rawben_rel_max <  0.997","4+","state",42,0.5476,0.374,51,"buffer"
"months_since_cert_n <   6.000 & rawben_rel_max <   0.799 & total_deductions_by_hh_size < 252.000","4+","state",53,0.5283,0.3737,52,"buffer"
"children_i <= 0.500 & rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.997","2-3","national",62,0.5161,0.3733,53,"buffer"
"children_i >=   1.00 & elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 484.00 & unc_rawben_rel_max >=   1.39","2-3","national",40,0.55,0.3722,54,"buffer"
"rawben_rel_max <=    0.996 & shelter_expenses_by_hh_size <= 1330.000 & total_deductions_by_hh_size >  635.000 & utilities <=  471.000","2-3","national",99,0.4848,0.3719,55,"buffer"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 272.000 & utilities < 277.000","1","national",364,0.4286,0.3697,56,"buffer"
